"Dist Code","Year","State Code","State Name","Dist Name","JANUARY ACTUAL (Millimeters)","FEBRUARY ACTUAL (Millimeters)","MARCH ACTUAL (Millimeters)","APRIL ACTUAL (Millimeters)","MAY ACTUAL (Millimeters)","JUNE ACTUAL (Millimeters)","JULY ACTUAL (Millimeters)","AUGUST ACTUAL (Millimeters)","SEPTEMBER ACTUAL (Millimeters)","OCTOBER ACTUAL (Millimeters)","NOVEMBER ACTUAL (Millimeters)","DECEMBER ACTUAL (Millimeters)"
"83","1990","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","80.27","75.86","80.16","37.54","125.38","41.17","66.79","108.19","155.7","129.95","102.94","83.21"
"83","1991","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","76.73","66.04","63.2","35.12","28.73","120.55","75.08","142.14","110.67","128.61","103.12","68.97"
"83","1992","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","77.12","63.4","56.49","25.85","46.56","37.05","66.88","137.74","78.64","124.77","104.11","95.17"
"83","1993","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","65.8","59.63","50.87","26.44","123.92","76.74","80.97","162.67","63.47","125.57","106.89","107.46"
"83","1994","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","78.74","86.03","78.53","47.26","92.66","50.12","81.3","145.45","56.09","128.9","106.28","104.94"
"83","1995","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","100.03","75.79","80.93","53.35","104.45","44.31","119.41","171.22","156.9","130.54","105.87","71.04"
"83","1996","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","67.82","58.04","37.69","49.93","19.98","45.5","54.12","101.84","81.02","125.95","104.34","104.3"
"83","1997","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","79.2","67.75","75.39","59.12","29.99","78.65","50.7","121.22","96.09","124.72","100.39","101.72"
"83","1998","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","79.81","75.42","75.44","40.05","70.17","35.3","114.86","157.14","87.62","127.69","103.18","107.84"
"83","1999","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","80.9","74.77","70.78","50.81","42.67","90.2","56.24","164.27","109.93","122.61","106.09","83.96"
"83","2000","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","56.45","57.57","29.27","33.24","43.55","81.95","103.98","165.19","147.31","124.98","108.76","78.17"
"83","2001","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","56.22","44.46","26.93","36.75","30.9","54.46","129.36","81.81","134.13","124.25","100.25","105.02"
"83","2002","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","91.78","78.81","78.38","44.47","78.52","41.58","54.51","156.52","104.41","124.45","102.94","80.15"
"83","2003","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","72.5","64.65","66.77","31.09","33.33","59.65","151.63","171.03","98.12","125.27","98.81","57.19"
"83","2004","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","49.6","23.2","16.05","30.16","110.71","75.7","79.4","66.87","148.16","126.32","104.78","76.13"
"83","2005","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","69.41","64.2","54.89","47.34","88.77","29.21","96.24","102.34","118.87","121.32","102.53","100.57"
"83","2006","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","74.62","67.45","83.14","61.85","51.54","86.31","103.85","138.27","97.71","124.4","100.8","70.38"
"83","2007","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","67.95","76.42","63.85","44.47","29.69","96.02","161.61","161.1","137.28","123.76","95.37","98.87"
"83","2008","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","82.82","76.35","81.88","65.36","34.85","72.08","81.14","160.05","110.25","123.63","105.09","70.5"
"83","2009","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","76.18","60.89","64.97","30.86","80.44","42.1","56.87","163.34","148.75","51.01","100.22","102.36"
"83","2010","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","75.79","69.6","72.01","41.29","79.45","114.15","137.24","153.7","145.13","123.68","99.07","98.74"
"83","2011","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","79.64","95.78","79.25","80.53","65.14","83.37","137.03","169.31","132.82","122.17","103.25","103.69"
"83","2012","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","79.76","73.06","78.26","44.8","29.82","47.33","81.95","174.09","146.52","130.39","104.32","106.59"
"83","2013","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","62.05","73.93","66.72","26.0","92.3","141.4","126.88","166.94","142.85","125.86","101.88","78.97"
"83","2014","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","60.96","41.85","19.83","12.73","47.45","152.16","54.8","174.93","69.33","130.29","104.54","102.68"
"83","2015","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","70.83","59.73","54.14","53.52","67.46","58.92","118.5","164.49","102.7","124.4","100.63","75.8"
"84","1990","11","Tamil Nadu","South Arcot Cuddalore","106.1","64.45","76.76","44.27","104.64","57.43","49.7","90.16","128.9","132.19","106.32","100.01"
"84","1991","11","Tamil Nadu","South Arcot Cuddalore","81.75","66.65","62.44","65.71","51.97","79.93","51.68","140.19","90.72","131.83","106.96","76.25"
"84","1992","11","Tamil Nadu","South Arcot Cuddalore","78.77","62.92","58.84","39.59","70.82","42.79","58.27","145.59","104.1","122.94","107.97","95.83"
"84","1993","11","Tamil Nadu","South Arcot Cuddalore","61.02","52.56","51.39","39.35","93.39","65.59","52.66","121.76","53.85","129.75","110.06","110.45"
"84","1994","11","Tamil Nadu","South Arcot Cuddalore","82.63","82.07","76.21","71.3","92.87","39.32","66.16","103.0","65.07","131.72","110.86","100.55"
