"Dist Code","Year","State Code","State Name","Dist Name","RICE AREA (1000 ha)","RICE PRODUCTION (1000 tons)","RICE YIELD (Kg per ha)"
"83","1990","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","231.96","743.65","3206.0"
"83","1991","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","264.41","894.59","3383.0"
"83","1992","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","237.07","729.92","3079.0"
"83","1993","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","290.0","883.0","3045.0"
"83","1994","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","260.71","850.76","3263.0"
"83","1995","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","252.33","765.19","3032.0"
"83","1996","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","155.37","456.72","2940.0"
"83","1997","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","154.69","505.7","3269.0"
"83","1998","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","149.88","522.55","3486.0"
"83","1999","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","144.9","482.6","3331.0"
"83","2000","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","132.86","435.5","3278.0"
"83","2001","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","135.16","478.94","3544.0"
"83","2002","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","97.42","278.09","2855.0"
"83","2003","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","97.12","295.64","3044.0"
"83","2004","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","101.67","307.11","3021.0"
"83","2005","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","114.72","293.88","2562.0"
"83","2006","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","103.11","395.13","3832.0"
"83","2007","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","91.36","345.13","3778.0"
"83","2008","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","90.87","329.21","3623.0"
"83","2009","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","91.02","331.43","3641.0"
"83","2010","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","95.74","378.63","3955.0"
"83","2011","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","90.42","395.41","4373.0"
"83","2012","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","77.78","344.88","4434.0"
"83","2013","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","85.56","391.84","4580.0"
"83","2014","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","61.88","289.9","4685.0"
"83","2015","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","97.74","415.3","4249.0"
"83","2016","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","72.62","288.04","3967.0"
"83","2017","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","90.61","394.58","4354.0"
"84","1990","11","Tamil Nadu","South Arcot Cuddalore","179.94","611.61","3399.0"
"84","1991","11","Tamil Nadu","South Arcot Cuddalore","233.31","827.59","3547.0"
"84","1992","11","Tamil Nadu","South Arcot Cuddalore","241.88","780.58","3227.0"
"84","1993","11","Tamil Nadu","South Arcot Cuddalore","252.0","625.0","2480.0"
"84","1994","11","Tamil Nadu","South Arcot Cuddalore","108.94","410.99","3773.0"
"84","1995","11","Tamil Nadu","South Arcot Cuddalore","106.43","325.44","3058.0"
"84","1996","11","Tamil Nadu","South Arcot Cuddalore","116.4","218.63","1878.0"
"84","1997","11","Tamil Nadu","South Arcot Cuddalore","116.63","358.11","3070.0"
"84","1998","11","Tamil Nadu","South Arcot Cuddalore","110.79","370.94","3348.0"
"84","1999","11","Tamil Nadu","South Arcot Cuddalore","113.84","439.85","3864.0"
"84","2000","11","Tamil Nadu","South Arcot Cuddalore","114.32","419.74","3672.0"
"84","2001","11","Tamil Nadu","South Arcot Cuddalore","108.38","402.81","3717.0"
"84","2002","11","Tamil Nadu","South Arcot Cuddalore","102.34","281.71","2753.0"
"84","2003","11","Tamil Nadu","South Arcot Cuddalore","104.16","317.66","3050.0"
"84","2004","11","Tamil Nadu","South Arcot Cuddalore","114.6","315.7","2755.0"
"84","2005","11","Tamil Nadu","South Arcot Cuddalore","114.29","218.35","1910.0"
"84","2006","11","Tamil Nadu","South Arcot Cuddalore","105.44","392.38","3721.0"
"84","2007","11","Tamil Nadu","South Arcot Cuddalore","102.8","335.12","3260.0"
"84","2008","11","Tamil Nadu","South Arcot Cuddalore","107.82","223.88","2076.0"
"84","2009","11","Tamil Nadu","South Arcot Cuddalore","111.52","322.96","2896.0"
"84","2010","11","Tamil Nadu","South Arcot Cuddalore","115.82","301.51","2603.0"
"84","2011","11","Tamil Nadu","South Arcot Cuddalore","120.98","248.24","2052.0"
"84","2012","11","Tamil Nadu","South Arcot Cuddalore","111.96","339.29","3030.0"
"84","2013","11","Tamil Nadu","South Arcot Cuddalore","127.49","565.96","4439.0"
"84","2014","11","Tamil Nadu","South Arcot Cuddalore","134.68","641.96","4767.0"
"84","2015","11","Tamil Nadu","South Arcot Cuddalore","139.99","507.13","3623.0"
"84","2016","11","Tamil Nadu","South Arcot Cuddalore","131.91","459.91","3487.0"
