"Dist Code","Year","State Code","State Name","Dist Name","RICE IRRIGATED AREA (1000 ha)"
"83","1990","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","209.69"
"83","1991","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","242.2"
"83","1992","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","218.82"
"83","1993","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","273.84"
"83","1994","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","245.48"
"83","1995","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","238.05"
"83","1996","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","151.88"
"83","1997","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","151.33"
"83","1998","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","146.74"
"83","1999","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","141.76"
"83","2000","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","129.42"
"83","2001","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","132.52"
"83","2002","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","95.29"
"83","2003","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","94.57"
"83","2004","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","97.3"
"83","2005","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","110.6"
"83","2006","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","100.96"
"83","2007","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","90.26"
"83","2008","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","89.76"
"83","2009","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","87.21"
"83","2010","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","92.66"
"83","2011","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","89.99"
"83","2012","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","77.08"
"83","2013","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","84.15"
"83","2014","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","60.81"
"83","2015","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","96.85"
"83","2016","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","67.99"
"84","1990","11","Tamil Nadu","South Arcot Cuddalore","177.17"
"84","1991","11","Tamil Nadu","South Arcot Cuddalore","229.49"
"84","1992","11","Tamil Nadu","South Arcot Cuddalore","236.55"
"84","1993","11","Tamil Nadu","South Arcot Cuddalore","241.65"
"84","1994","11","Tamil Nadu","South Arcot Cuddalore","106.95"
"84","1995","11","Tamil Nadu","South Arcot Cuddalore","103.51"
"84","1996","11","Tamil Nadu","South Arcot Cuddalore","112.94"
"84","1997","11","Tamil Nadu","South Arcot Cuddalore","113.6"
"84","1998","11","Tamil Nadu","South Arcot Cuddalore","108.9"
"84","1999","11","Tamil Nadu","South Arcot Cuddalore","112.89"
"84","2000","11","Tamil Nadu","South Arcot Cuddalore","113.58"
"84","2001","11","Tamil Nadu","South Arcot Cuddalore","108.07"
"84","2002","11","Tamil Nadu","South Arcot Cuddalore","102.11"
"84","2003","11","Tamil Nadu","South Arcot Cuddalore","103.98"
"84","2004","11","Tamil Nadu","South Arcot Cuddalore","114.4"
"84","2005","11","Tamil Nadu","South Arcot Cuddalore","113.53"
"84","2006","11","Tamil Nadu","South Arcot Cuddalore","105.14"
"84","2007","11","Tamil Nadu","South Arcot Cuddalore","102.8"
"84","2008","11","Tamil Nadu","South Arcot Cuddalore","107.82"
"84","2009","11","Tamil Nadu","South Arcot Cuddalore","111.52"
"84","2010","11","Tamil Nadu","South Arcot Cuddalore","115.82"
"84","2011","11","Tamil Nadu","South Arcot Cuddalore","120.98"
"84","2012","11","Tamil Nadu","South Arcot Cuddalore","111.96"
"84","2013","11","Tamil Nadu","South Arcot Cuddalore","127.49"
"84","2014","11","Tamil Nadu","South Arcot Cuddalore","134.68"
"84","2015","11","Tamil Nadu","South Arcot Cuddalore","139.99"
"84","2016","11","Tamil Nadu","South Arcot Cuddalore","131.91"
"85","1990","11","Tamil Nadu","North Arcot Vellore","144.57"
"85","1991","11","Tamil Nadu","North Arcot Vellore","70.44"
"85","1992","11","Tamil Nadu","North Arcot Vellore","48.5"
"85","1993","11","Tamil Nadu","North Arcot Vellore","61.62"
"85","1994","11","Tamil Nadu","North Arcot Vellore","52.23"
"85","1995","11","Tamil Nadu","North Arcot Vellore","60.47"
"85","1996","11","Tamil Nadu","North Arcot Vellore","86.78"
"85","1997","11","Tamil Nadu","North Arcot Vellore","71.58"
"85","1998","11","Tamil Nadu","North Arcot Vellore","77.13"
"85","1999","11","Tamil Nadu","North Arcot Vellore","49.87"
"85","2000","11","Tamil Nadu","North Arcot Vellore","52.33"
"85","2001","11","Tamil Nadu","North Arcot Vellore","60.11"
"85","2002","11","Tamil Nadu","North Arcot Vellore","26.29"
"85","2003","11","Tamil Nadu","North Arcot Vellore","30.91"
"85","2004","11","Tamil Nadu","North Arcot Vellore","29.31"
"85","2005","11","Tamil Nadu","North Arcot Vellore","58.15"
"85","2006","11","Tamil Nadu","North Arcot Vellore","41.64"
"85","2007","11","Tamil Nadu","North Arcot Vellore","44.31"
"85","2008","11","Tamil Nadu","North Arcot Vellore","47.41"
"85","2009","11","Tamil Nadu","North Arcot Vellore","39.77"
"85","2010","11","Tamil Nadu","North Arcot Vellore","43.22"
"85","2011","11","Tamil Nadu","North Arcot Vellore","37.99"
"85","2012","11","Tamil Nadu","North Arcot Vellore","35.71"
"85","2013","11","Tamil Nadu","North Arcot Vellore","39.37"
"85","2014","11","Tamil Nadu","North Arcot Vellore","36.58"
"85","2015","11","Tamil Nadu","North Arcot Vellore","51.77"
"85","2016","11","Tamil Nadu","North Arcot Vellore","44.57"
"86","1990","11","Tamil Nadu","Salem","30.08"
"86","1991","11","Tamil Nadu","Salem","67.58"
"86","1992","11","Tamil Nadu","Salem","56.61"
"86","1993","11","Tamil Nadu","Salem","74.77"
"86","1994","11","Tamil Nadu","Salem","67.52"
"86","1995","11","Tamil Nadu","Salem","64.74"
"86","1996","11","Tamil Nadu","Salem","43.39"
"86","1997","11","Tamil Nadu","Salem","45.94"
"86","1998","11","Tamil Nadu","Salem","47.57"
"86","1999","11","Tamil Nadu","Salem","46.68"
"86","2000","11","Tamil Nadu","Salem","45.42"
"86","2001","11","Tamil Nadu","Salem","45.34"
"86","2002","11","Tamil Nadu","Salem","10.75"
"86","2003","11","Tamil Nadu","Salem","13.36"
"86","2004","11","Tamil Nadu","Salem","26.88"
"86","2005","11","Tamil Nadu","Salem","36.47"
"86","2006","11","Tamil Nadu","Salem","27.08"
"86","2007","11","Tamil Nadu","Salem","21.28"
"86","2008","11","Tamil Nadu","Salem","29.56"
"86","2009","11","Tamil Nadu","Salem","24.09"
"86","2010","11","Tamil Nadu","Salem","32.89"
"86","2011","11","Tamil Nadu","Salem","26.98"
