"Dist Code","Year","State Code","State Name","Dist Name","JANUARY MAXIMUM (Centigrate)","FEBRUARY MAXIMUM (Centigrate)","MARCH MAXIMUM (Centigrate)","APRIL MAXIMUM (Centigrate)","MAY MAXIMUM (Centigrate)","JUNE MAXIMUM (Centigrate)","JULY MAXIMUM (Centigrate)","AUGUST MAXIMUM (Centigrate)","SEPTEMBER MAXIMUM (Centigrate)","OCTOBER MAXIMUM (Centigrate)","NOVEMBER MAXIMUM (Centigrate)","DECEMBER MAXIMUM (Centigrate)"
"83","1990","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","29.01","31.87","33.66","36.11","35.62","36.76","35.33","34.69","34.62","31.86","30.14","28.91"
"83","1991","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","29.73","31.39","34.08","35.72","38.11","35.69","34.79","34.64","34.75","31.75","29.21","28.93"
"83","1992","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","29.06","32.12","33.81","35.7","37.55","37.31","35.51","34.85","34.34","32.61","29.16","28.62"
"83","1993","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","29.78","31.84","33.64","35.77","38.2","37.68","35.68","35.44","34.65","32.04","29.12","27.59"
"83","1994","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","30.0","31.62","34.35","35.31","38.65","37.61","34.69","35.05","35.0","32.08","28.85","28.04"
"83","1995","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","29.42","31.88","33.78","35.21","36.1","38.06","35.05","34.84","34.45","32.82","30.6","29.04"
"83","1996","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","30.4","32.13","34.91","35.45","39.19","36.51","34.33","34.57","33.45","32.46","30.06","28.77"
"83","1997","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","29.49","31.83","34.3","34.17","37.98","38.18","35.9","35.49","34.36","32.81","29.76","29.61"
"83","1998","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","31.11","33.44","35.91","35.69","38.79","38.75","35.43","34.7","34.17","32.66","30.66","28.49"
"83","1999","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","30.14","32.02","35.26","35.86","36.49","36.95","34.2","35.0","34.91","31.85","30.36","29.67"
"83","2000","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","29.84","31.38","33.8","36.22","38.07","36.02","35.08","33.69","34.04","32.45","30.66","28.29"
"83","2001","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","29.53","32.14","34.25","34.86","38.57","36.93","35.56","34.73","34.68","31.91","29.61","28.67"
"83","2002","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","29.52","31.59","33.82","35.52","37.88","36.59","35.56","35.6","34.96","32.14","29.57","28.97"
"83","2003","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","29.76","31.95","33.92","35.22","38.22","37.99","34.27","34.69","35.43","32.33","30.2","29.16"
"83","2004","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","29.59","31.14","33.45","35.75","35.73","36.64","34.72","35.66","33.63","31.84","29.41","29.25"
"83","2005","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","30.27","31.87","34.09","34.31","37.23","37.31","35.33","35.01","34.0","31.91","28.66","28.01"
"83","2006","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","28.96","30.65","33.48","35.24","37.3","36.63","35.88","35.65","33.93","31.98","29.49","28.94"
"83","2007","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","29.8","31.21","33.19","34.69","37.71","36.41","35.33","34.46","33.87","32.05","29.39","28.67"
"83","2008","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","29.09","31.32","32.54","34.74","38.08","37.21","35.09","34.74","34.23","32.04","29.8","28.81"
"83","2009","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","29.61","31.39","33.51","35.29","37.22","37.24","36.36","35.55","34.62","33.45","30.14","28.82"
"83","2010","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","29.75","31.94","34.1","36.22","37.81","36.89","34.79","34.41","33.86","32.44","30.13","28.35"
"83","2011","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","29.5","31.08","33.5","34.59","38.09","37.32","35.6","35.33","34.48","32.68","29.59","28.85"
"83","2012","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","29.14","31.49","34.17","35.28","37.88","37.84","35.44","35.38","34.17","32.2","30.2","29.66"
"83","2013","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","29.87","31.57","33.63","35.43","38.35","37.6","34.82","35.26","33.81","32.24","29.75","28.78"
"83","2014","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","32.35","30.77","33.28","35.23","37.47","38.3","36.44","35.95","34.91","32.79","29.7","29.0"
"83","2015","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","29.78","31.13","34.14","35.01","36.8","37.21","36.64","36.02","35.23","32.85","29.36","29.98"
"84","1990","11","Tamil Nadu","South Arcot Cuddalore","28.64","31.47","33.67","35.83","35.54","36.71","35.48","34.71","34.81","31.84","29.96","28.38"
"84","1991","11","Tamil Nadu","South Arcot Cuddalore","29.31","30.95","34.1","35.5","37.72","35.71","35.05","34.65","35.01","31.55","29.19","28.5"
"84","1992","11","Tamil Nadu","South Arcot Cuddalore","28.85","31.68","33.8","35.62","37.0","37.01","35.47","34.93","34.44","32.47","29.02","28.25"
"84","1993","11","Tamil Nadu","South Arcot Cuddalore","29.29","31.6","33.72","35.57","37.67","37.51","35.73","35.38","34.88","31.89","28.96","27.15"
