"Dist Code","Year","State Code","State Name","Dist Name","JANUARY MINIMUM (Centigrate)","FEBRUARY MINIMUM (Centigrate)","MARCH MINIMUM (Centigrate)","APRIL MINIMUM (Centigrate)","MAY MINIMUM (Centigrate)","JUNE MINIMUM (Centigrate)","JULY MINIMUM (Centigrate)","AUGUST MINIMUM (Centigrate)","SEPTEMBER MINIMUM (Centigrate)","OCTOBER MINIMUM (Centigrate)","NOVEMBER MINIMUM (Centigrate)","DECEMBER MINIMUM (Centigrate)"
"83","1990","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","19.97","21.62","24.2","26.42","26.16","26.0","25.04","25.09","24.64","23.57","22.61","21.09"
"83","1991","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","20.79","21.24","23.02","26.13","27.36","26.12","25.69","25.14","24.68","24.05","21.98","20.31"
"83","1992","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","19.02","20.18","21.55","25.31","26.49","26.74","25.82","24.66","24.26","23.41","22.93","19.69"
"83","1993","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","19.14","19.89","22.48","25.29","26.74","26.31","25.29","24.44","23.98","23.55","22.59","20.87"
"83","1994","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","19.76","20.77","22.39","26.03","27.0","26.65","25.1","24.66","24.32","23.39","21.81","20.03"
"83","1995","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","19.57","20.53","22.52","25.52","25.94","26.69","25.55","25.04","24.38","23.42","23.17","21.04"
"83","1996","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","19.56","19.98","21.56","25.26","27.34","26.05","26.04","25.27","24.68","22.97","22.63","20.15"
"83","1997","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","19.55","20.09","22.35","25.59","27.03","27.11","26.61","25.69","24.49","23.41","23.23","22.68"
"83","1998","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","21.07","21.5","22.55","26.29","27.34","27.49","26.14","25.3","24.7","23.66","22.83","21.16"
"83","1999","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","18.8","20.47","22.5","25.78","26.43","25.98","25.51","25.3","24.13","23.95","22.33","19.85"
"83","2000","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","20.4","21.74","22.34","26.13","27.12","26.46","25.19","25.39","24.96","23.65","22.23","20.29"
"83","2001","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","19.91","21.32","23.39","25.46","28.04","26.53","26.09","25.18","25.2","23.55","22.46","20.67"
"83","2002","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","19.9","20.77","22.96","26.11","27.34","26.19","26.09","26.05","25.48","23.78","22.43","20.96"
"83","2003","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","20.14","21.13","23.05","25.82","27.68","27.59","24.8","25.14","25.95","23.97","23.06","21.16"
"83","2004","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","19.97","20.32","22.59","26.35","25.19","26.24","25.25","26.11","24.15","23.48","22.27","21.25"
"83","2005","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","20.66","21.05","23.23","24.91","26.69","26.91","25.86","25.46","24.52","23.55","21.52","20.0"
"83","2006","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","19.34","19.83","22.61","25.84","26.76","26.23","26.41","26.1","24.45","23.62","22.35","20.93"
"83","2007","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","20.18","20.39","22.33","25.29","27.17","26.0","25.87","24.91","24.39","23.69","22.25","20.67"
"83","2008","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","19.47","20.5","21.68","25.34","27.54","26.8","25.63","25.2","24.75","23.68","22.66","20.81"
"83","2009","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","20.0","20.57","22.65","25.89","26.68","26.84","26.89","26.0","25.15","25.09","22.99","20.82"
"83","2010","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","20.14","21.12","23.24","26.82","27.27","26.48","25.33","24.86","24.38","24.07","22.99","20.35"
"83","2011","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","19.88","20.26","22.64","25.19","27.55","26.92","26.13","25.77","25.0","24.32","22.44","20.84"
"83","2012","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","19.52","20.67","23.31","25.88","27.34","27.44","25.97","25.83","24.69","23.84","23.05","21.65"
"83","2013","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","20.25","20.75","22.77","26.03","27.82","27.19","25.35","25.7","24.33","23.88","22.61","20.78"
"83","2014","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","22.73","19.95","22.41","25.83","26.93","27.9","26.98","26.4","25.43","24.43","22.56","21.0"
"83","2015","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","22.73","19.95","22.41","25.83","26.93","27.9","26.98","26.4","25.43","24.43","22.21","21.98"
"84","1990","11","Tamil Nadu","South Arcot Cuddalore","20.98","22.41","24.67","26.55","26.43","25.96","24.94","24.92","24.79","23.86","22.91","21.8"
"84","1991","11","Tamil Nadu","South Arcot Cuddalore","21.76","22.0","23.5","26.32","27.31","26.15","25.71","24.96","24.89","24.17","22.44","21.11"
"84","1992","11","Tamil Nadu","South Arcot Cuddalore","20.2","20.92","22.0","25.64","26.29","26.45","25.53","24.54","24.32","23.58","23.27","20.56"
"84","1993","11","Tamil Nadu","South Arcot Cuddalore","20.04","20.84","23.02","25.49","26.56","26.15","25.09","24.19","24.16","23.71","22.91","21.66"
"84","1994","11","Tamil Nadu","South Arcot Cuddalore","20.68","21.52","22.73","26.09","26.71","26.42","25.18","24.54","24.42","23.51","22.34","21.14"
"84","1995","11","Tamil Nadu","South Arcot Cuddalore","20.76","21.37","23.04","25.72","26.08","26.38","25.61","24.87","24.52","23.68","23.54","21.86"
"84","1996","11","Tamil Nadu","South Arcot Cuddalore","20.51","20.91","22.03","25.52","27.09","25.84","25.99","25.09","24.79","23.26","22.94","20.92"
"84","1997","11","Tamil Nadu","South Arcot Cuddalore","20.7","20.97","22.8","25.99","26.84","26.89","26.43","25.49","24.65","23.56","23.52","23.32"
"84","1998","11","Tamil Nadu","South Arcot Cuddalore","22.04","22.37","23.03","26.73","27.09","27.11","25.94","25.15","24.89","23.91","23.14","21.99"
"84","1999","11","Tamil Nadu","South Arcot Cuddalore","19.83","21.27","22.85","25.68","26.23","25.81","25.59","25.09","24.39","24.11","22.67","20.62"
"84","2000","11","Tamil Nadu","South Arcot Cuddalore","21.31","22.49","22.87","26.12","27.01","26.47","25.28","25.19","25.02","23.88","22.59","21.15"
"84","2001","11","Tamil Nadu","South Arcot Cuddalore","20.94","21.99","23.84","25.48","27.64","26.37","25.84","25.16","25.13","23.76","22.8","21.46"
"84","2002","11","Tamil Nadu","South Arcot Cuddalore","21.18","21.48","23.32","26.25","27.19","26.11","25.94","25.72","25.81","24.13","23.14","21.87"
"84","2003","11","Tamil Nadu","South Arcot Cuddalore","21.35","22.21","23.66","26.23","27.5","26.99","25.12","24.53","25.7","24.1","22.87","21.9"
"84","2004","11","Tamil Nadu","South Arcot Cuddalore","21.09","21.18","23.25","26.67","25.09","26.07","25.06","25.74","24.12","23.56","22.49","21.9"
"84","2005","11","Tamil Nadu","South Arcot Cuddalore","21.62","21.93","23.84","25.09","26.71","26.78","25.81","25.42","24.7","23.86","21.92","21.09"
"84","2006","11","Tamil Nadu","South Arcot Cuddalore","20.43","20.7","22.95","25.94","26.49","26.17","26.41","25.54","24.77","23.81","22.75","21.81"
"84","2007","11","Tamil Nadu","South Arcot Cuddalore","21.21","21.34","22.86","25.46","26.97","26.07","25.69","24.63","25.0","24.28","22.83","21.41"
"84","2008","11","Tamil Nadu","South Arcot Cuddalore","20.67","21.39","21.95","25.38","26.93","26.69","25.59","24.85","25.13","24.04","23.04","21.63"
"84","2009","11","Tamil Nadu","South Arcot Cuddalore","20.98","21.43","23.21","26.29","26.86","26.76","26.49","25.68","25.39","25.18","23.18","21.71"
"84","2010","11","Tamil Nadu","South Arcot Cuddalore","21.31","21.93","23.77","27.06","27.49","26.68","25.88","24.86","24.67","24.57","23.09","21.29"
"84","2011","11","Tamil Nadu","South Arcot Cuddalore","21.0","21.17","23.26","25.52","27.45","26.98","26.01","25.34","25.44","24.33","22.76","21.71"
"84","2012","11","Tamil Nadu","South Arcot Cuddalore","20.82","21.61","23.8","26.16","26.81","26.92","26.01","25.45","25.43","23.89","23.57","22.73"
"84","2013","11","Tamil Nadu","South Arcot Cuddalore","21.58","21.78","23.5","26.79","27.91","27.1","25.71","25.07","24.94","24.52","23.09","21.51"
"84","2014","11","Tamil Nadu","South Arcot Cuddalore","24.02","20.95","22.99","26.41","26.88","27.57","26.51","25.63","25.62","24.55","22.97","21.88"
"84","2015","11","Tamil Nadu","South Arcot Cuddalore","24.02","20.95","22.99","26.41","26.88","27.57","26.51","25.63","25.62","24.55","22.7","22.76"
"85","1990","11","Tamil Nadu","North Arcot Vellore","17.82","19.76","22.54","24.83","24.31","24.02","23.16","23.34","22.73","21.7","20.22","18.6"
"85","1991","11","Tamil Nadu","North Arcot Vellore","18.73","19.5","21.53","24.46","25.54","24.31","23.7","23.3","22.85","22.13","19.68","17.75"
"85","1992","11","Tamil Nadu","North Arcot Vellore","16.77","18.42","20.04","23.73","24.58","24.72","23.86","22.95","22.37","21.46","20.68","17.16"
"85","1993","11","Tamil Nadu","North Arcot Vellore","16.98","18.12","20.89","23.71","24.93","24.47","23.4","22.81","22.05","21.62","20.29","18.32"
"85","1994","11","Tamil Nadu","North Arcot Vellore","17.58","18.97","20.83","24.34","25.08","24.65","23.19","23.05","22.44","21.48","19.45","17.45"
"85","1995","11","Tamil Nadu","North Arcot Vellore","17.38","18.86","20.88","23.94","24.1","24.84","23.66","23.45","22.55","21.43","20.82","18.52"
"85","1996","11","Tamil Nadu","North Arcot Vellore","17.41","18.23","20.06","23.63","25.38","24.27","24.25","23.52","22.8","21.01","20.25","17.65"
"85","1997","11","Tamil Nadu","North Arcot Vellore","17.46","18.36","20.68","23.9","25.17","25.26","24.66","23.91","22.75","21.56","21.0","20.17"
"85","1998","11","Tamil Nadu","North Arcot Vellore","18.95","19.72","20.92","24.62","25.44","25.59","24.24","23.72","22.81","21.6","20.43","18.65"
"85","1999","11","Tamil Nadu","North Arcot Vellore","16.77","18.73","20.89","24.13","24.35","24.02","23.72","23.59","22.28","22.05","19.95","17.31"
"85","2000","11","Tamil Nadu","North Arcot Vellore","18.28","19.92","20.75","24.38","25.01","24.51","23.29","23.68","23.14","21.66","19.93","17.48"
"85","2001","11","Tamil Nadu","North Arcot Vellore","17.89","20.0","21.95","23.2","26.27","24.7","24.49","24.01","23.22","21.65","20.26","18.21"
"85","2002","11","Tamil Nadu","North Arcot Vellore","18.03","18.73","21.52","24.48","25.76","24.64","24.84","24.57","24.42","22.22","20.4","18.86"
"85","2003","11","Tamil Nadu","North Arcot Vellore","18.36","19.84","21.68","24.34","26.96","25.73","23.41","23.43","24.75","22.22","20.76","18.98"
"85","2004","11","Tamil Nadu","North Arcot Vellore","18.13","18.81","21.51","24.98","22.84","24.37","23.53","24.9","22.28","21.57","19.76","18.86"
"85","2005","11","Tamil Nadu","North Arcot Vellore","18.82","19.47","21.86","23.28","25.32","25.18","24.02","24.05","22.69","21.6","18.92","17.59"
"85","2006","11","Tamil Nadu","North Arcot Vellore","17.45","18.02","21.01","24.46","25.43","24.65","25.24","24.8","23.13","22.16","20.2","18.41"
"85","2007","11","Tamil Nadu","North Arcot Vellore","18.13","18.7","21.23","23.75","25.73","23.95","24.15","23.11","22.9","22.31","20.05","18.23"
"85","2008","11","Tamil Nadu","North Arcot Vellore","17.66","18.99","19.62","23.62","25.97","25.27","24.05","23.55","22.93","21.67","20.58","18.26"
"85","2009","11","Tamil Nadu","North Arcot Vellore","17.86","19.22","21.27","24.59","25.24","24.97","25.21","24.7","23.41","23.66","20.93","18.68"
"85","2010","11","Tamil Nadu","North Arcot Vellore","18.4","19.59","22.16","25.36","25.79","24.87","23.49","23.3","22.81","22.37","20.6","17.9"
"85","2011","11","Tamil Nadu","North Arcot Vellore","17.8","18.37","21.18","23.45","26.05","25.47","24.61","24.01","24.32","22.33","19.94","18.09"
"85","2012","11","Tamil Nadu","North Arcot Vellore","17.36","18.95","22.09","24.36","25.9","26.1","24.68","24.32","23.89","22.12","21.19","19.54"
"85","2013","11","Tamil Nadu","North Arcot Vellore","18.65","19.3","21.57","24.78","26.21","25.26","23.88","24.36","22.56","22.5","20.78","18.76"
"85","2014","11","Tamil Nadu","North Arcot Vellore","21.45","18.49","21.03","24.73","25.56","26.35","25.26","24.47","24.07","22.56","20.59","19.16"
"85","2015","11","Tamil Nadu","North Arcot Vellore","21.45","18.49","21.03","24.73","25.56","26.35","25.26","24.47","24.07","22.56","19.88","19.42"
"86","1990","11","Tamil Nadu","Salem","18.58","20.43","23.11","24.65","23.92","23.01","22.19","22.38","22.29","21.75","20.53","19.22"
"86","1991","11","Tamil Nadu","Salem","19.45","20.05","22.04","24.34","24.76","23.32","22.83","22.3","22.35","21.96","20.14","18.43"
"86","1992","11","Tamil Nadu","Salem","17.7","18.95","20.49","23.69","23.73","23.44","22.7","21.98","21.81","21.32","21.03","17.93"
"86","1993","11","Tamil Nadu","Salem","17.61","18.85","21.52","23.64","24.11","23.2","22.35","21.84","21.55","21.52","20.6","19.05"
