"Dist Code","Year","State Code","State Name","Dist Name","JANUARY POTENTIAL (Millimeters)","FEBRUARY POTENTIAL (Millimeters)","MARCH POTENTIAL (Millimeters)","APRIL POTENTIAL (Millimeters)","MAY POTENTIAL (Millimeters)","JUNE POTENTIAL (Millimeters)","JULY POTENTIAL (Millimeters)","AUGUST POTENTIAL (Millimeters)","SEPTEMBER POTENTIAL (Millimeters)","OCTOBER POTENTIAL (Millimeters)","NOVEMBER POTENTIAL (Millimeters)","DECEMBER POTENTIAL (Millimeters)"
"83","1990","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","116.86","136.1","172.41","181.18","196.67","197.3","178.9","168.5","156.52","129.95","102.94","108.09"
"83","1991","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","120.61","129.21","170.44","178.01","206.2","188.39","183.57","174.0","151.97","128.61","103.12","103.73"
"83","1992","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","121.18","132.42","168.1","179.97","192.43","186.84","177.3","171.14","150.41","125.46","104.11","106.59"
"83","1993","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","120.84","132.84","173.0","179.53","211.62","188.96","184.46","174.86","157.8","125.57","106.89","107.46"
"83","1994","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","123.54","129.22","171.57","173.53","205.48","205.26","182.04","180.01","162.02","128.9","106.28","105.86"
"83","1995","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","124.38","132.95","168.98","172.6","194.86","214.15","177.97","171.22","159.06","130.54","105.92","111.72"
"83","1996","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","128.6","139.1","177.09","169.42","216.36","192.52","178.69","168.08","149.85","125.95","104.34","104.3"
"83","1997","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","118.2","125.63","171.82","164.34","195.4","200.05","186.92","180.97","153.98","124.72","100.39","101.73"
"83","1998","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","123.64","139.95","180.05","176.17","195.1","199.31","164.3","157.46","151.18","127.69","103.18","107.84"
"83","1999","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","126.93","138.33","174.52","173.77","193.16","202.52","176.88","169.74","159.17","122.61","106.09","107.78"
"83","2000","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","122.84","129.45","164.89","176.5","196.73","190.59","174.06","171.57","147.32","124.98","108.76","103.4"
"83","2001","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","121.77","127.32","171.05","163.37","208.25","197.96","177.84","170.22","153.58","124.25","100.25","105.02"
"83","2002","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","115.54","134.09","167.18","171.71","202.72","181.58","176.95","181.3","158.22","124.45","102.94","105.76"
"83","2003","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","124.48","130.87","167.55","171.9","206.05","207.64","160.16","171.22","161.51","125.27","109.82","108.46"
"83","2004","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","118.9","128.43","166.63","179.47","178.21","187.72","162.05","171.85","148.16","126.32","104.78","111.23"
"83","2005","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","122.66","129.86","170.73","163.84","190.49","188.75","173.48","162.35","151.67","121.32","102.53","100.57"
"83","2006","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","115.17","123.45","159.07","169.77","199.53","176.63","178.44","179.67","150.89","124.4","100.8","103.59"
