"Dist Code","Year","State Code","State Name","Dist Name","JANUARY PERCIPITATION (Millimeters)","FEBRUARY PERCIPITATION (Millimeters)","MARCH PERCIPITATION (Millimeters)","APRIL PERCIPITATION (Millimeters)","MAY PERCIPITATION (Millimeters)","JUNE PERCIPITATION (Millimeters)","JULY PERCIPITATION (Millimeters)","AUGUST PERCIPITATION (Millimeters)","SEPTEMBER PERCIPITATION (Millimeters)","OCTOBER PERCIPITATION (Millimeters)","NOVEMBER PERCIPITATION (Millimeters)","DECEMBER PERCIPITATION (Millimeters)"
"83","1990","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","27.11","9.11","15.92","1.57","114.56","30.79","61.75","107.64","179.22","363.99","201.07","44.95"
"83","1991","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","19.1","5.8","0.33","9.33","14.61","116.96","71.72","145.12","112.2","252.64","463.94","9.72"
"83","1992","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","22.26","0.0","0.0","1.59","34.17","29.19","63.39","140.36","78.52","133.47","368.51","86.87"
"83","1993","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","0.08","1.48","1.49","4.25","116.67","71.59","78.62","169.71","62.13","261.56","312.67","220.53"
"83","1994","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","3.14","38.72","0.16","8.07","76.9","40.11","76.95","147.91","53.99","225.97","361.44","133.18"
"83","1995","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","64.82","1.15","7.96","10.81","88.64","33.5","116.95","357.19","175.34","183.66","157.07","11.62"
"83","1996","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","2.83","1.23","0.13","32.83","8.87","39.53","50.86","102.5","81.57","263.88","217.2","260.94"
"83","1997","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","16.6","0.0","2.8","25.16","12.49","70.89","45.16","121.57","96.51","256.43","615.23","267.44"
"83","1998","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","4.72","0.15","0.12","11.59","57.05","26.34","113.58","198.12","77.53","153.41","319.93","220.62"
"83","1999","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","5.13","4.53","0.05","22.37","27.93","84.05","51.55","175.56","109.49","234.2","190.7","66.19"
"83","2000","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","4.29","21.45","0.44","18.53","35.27","78.83","103.92","175.91","170.9","246.02","176.22","57.61"
"83","2001","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","2.97","0.2","0.1","22.93","22.29","50.08","130.78","81.89","139.09","347.86","199.86","188.74"
"83","2002","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","55.06","3.4","0.02","0.58","60.66","30.52","48.42","160.88","104.36","299.45","328.9","38.94"
"83","2003","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","1.76","4.76","10.19","6.54","20.02","52.87","159.15","201.74","89.87","232.83","100.18","29.83"
"83","2004","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","20.58","1.85","3.45","22.7","110.02","74.71","79.66","67.23","264.8","311.08","179.85","17.93"
"83","2005","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","3.11","9.55","2.01","25.17","79.01","21.16","94.43","102.53","121.64","644.49","436.89","309.53"
"83","2006","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","5.19","0.04","23.68","18.04","31.93","77.44","100.26","139.34","97.79","509.02","234.88","14.03"
"83","2007","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","1.71","36.07","0.0","18.02","15.15","90.62","179.48","245.52","139.25","220.47","99.53","181.08"
"83","2008","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","45.36","28.31","25.26","21.78","12.95","61.94","76.11","203.49","104.04","369.8","530.25","20.47"
"83","2009","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","20.69","0.0","3.27","4.19","68.75","33.95","52.53","185.07","159.9","43.49","480.87","164.69"
"83","2010","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","5.19","0.03","0.31","6.54","64.54","108.81","139.75","185.57","167.69","169.39","278.21","189.78"
"83","2011","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","12.71","62.53","0.0","40.8","42.57","72.83","136.36","225.52","132.04","259.05","356.67","144.63"
"83","2012","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","29.1","0.15","0.2","3.63","10.13","36.88","77.48","193.39","152.8","282.84","122.94","148.86"
"83","2013","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","1.63","36.2","22.64","2.02","82.63","140.18","126.95","174.88","156.54","190.86","204.91","62.19"
