Dist Code,Year,State Code,State Name,Dist Name,JANUARY RAINFALL (Millimeters),FEBRUARY RAINFALL (Millimeters),MARCH RAINFALL (Millimeters),APRIL RAINFALL (Millimeters),MAY RAINFALL (Millimeters),JUNE RAINFALL (Millimeters),JULY RAINFALL (Millimeters),AUGUST RAINFALL (Millimeters),SEPTEMBER RAINFALL (Millimeters),OCTOBER RAINFALL (Millimeters),NOVEMBER RAINFALL (Millimeters),DECEMBER RAINFALL (Millimeters)
83,1990,11,Tamil Nadu,Chengalpattu MGR Kancheepuram,30.6,2.1,17.5,4.5,254,36.1,89,99.5,188.8,344.3,271.7,49.9
83,1991,11,Tamil Nadu,Chengalpattu MGR Kancheepuram,18.2,2.1,0,4.1,5.8,242.4,59.8,136.7,151.4,281.7,538.3,4.1
83,1992,11,Tamil Nadu,Chengalpattu MGR Kancheepuram,11.4,0,0,11.1,23.9,6.9,67.3,117.1,112.9,124.4,378.6,93.8
83,1993,11,Tamil Nadu,Chengalpattu MGR Kancheepuram,0,3.6,0.6,0,38.1,41.8,65.7,169,168.8,239.4,427.9,233.2
83,1994,11,Tamil Nadu,Chengalpattu MGR Kancheepuram,0.5,16.1,0.6,0,35.7,38.5,99.2,138.7,87.2,312.5,437.7,145.3
83,1995,11,Tamil Nadu,Chengalpattu MGR Kancheepuram,81.5,1.6,8.5,1.9,275,93.1,107.7,257.8,200.4,204.3,153,2
83,1996,11,Tamil Nadu,Chengalpattu MGR Kancheepuram,0.2,0,0,44.5,5.6,396.9,55.8,107.3,166.3,246.2,249,412.4
83,1997,11,Tamil Nadu,Chengalpattu MGR Kancheepuram,32.1,7.2,0,22.7,5.5,43.8,41.2,73.4,217.2,214.4,519.5,317.5
83,1998,11,Tamil Nadu,Chengalpattu MGR Kancheepuram,0,9.2,0,1.7,21.7,20.2,67.9,223.8,248,185.2,523.8,170.6
83,1999,11,Tamil Nadu,Chengalpattu MGR Kancheepuram,9.6,0,0,200.3,34.2,25.4,71,136.8,69.1,199.7,253.1,121.6
83,2000,11,Tamil Nadu,Chengalpattu MGR Kancheepuram,2.8,203,0.2,17.3,33,89.1,70.8,74.2,79.1,150.8,158.9,88.5
83,2001,11,Tamil Nadu,Chengalpattu MGR Kancheepuram,4.8,0,0,74.9,28.7,36.4,96.3,47.6,137.5,226.2,171,205.2
83,2002,11,Tamil Nadu,Chengalpattu MGR Kancheepuram,20.5,0.3,0,0,32.2,46.3,24.1,82.7,75.5,200.9,264.3,61
83,2003,11,Tamil Nadu,Chengalpattu MGR Kancheepuram,0.1,0,13.5,14.1,14.5,46.7,239.5,219.8,177.3,234.7,132.7,43.2
83,2004,11,Tamil Nadu,Chengalpattu MGR Kancheepuram,14.2,0,7.7,16.4,222.1,41.8,29.2,32.8,313.2,253.2,195,3.6
83,2005,11,Tamil Nadu,Chengalpattu MGR Kancheepuram,0,0.5,9,130,30.2,32.9,98.9,81.5,80.2,516.4,576.7,377.9
83,2006,11,Tamil Nadu,Chengalpattu MGR Kancheepuram,16.1,0,26.5,3.7,14.7,87.2,65.7,32.6,129.6,414.5,232.3,57.7
83,2007,11,Tamil Nadu,Chengalpattu MGR Kancheepuram,0,1.6,0,19.4,14.4,69.5,116.6,190.2,154.2,263.6,98.2,296.6
83,2008,11,Tamil Nadu,Chengalpattu MGR Kancheepuram,28.8,18.8,150.9,13.5,18.6,52.2,43.3,99.7,117.8,295.7,507.8,36.3
83,2009,11,Tamil Nadu,Chengalpattu MGR Kancheepuram,16,0,6.6,0,43.8,11.3,41.8,93.9,73.6,46.5,493.8,259.5
