"Dist Code","Year","State Code","State Name","Dist Name","JANUARY WATER DEFICIT (Millimeters)","FEBRUARY WATER DEFICIT (Millimeters)","MARCH WATER DEFICIT (Millimeters)","APRIL WATER DEFICIT (Millimeters)","MAY WATER DEFICIT (Millimeters)","JUNE WATER DEFICIT (Millimeters)","JULY WATER DEFICIT (Millimeters)","AUGUST WATER DEFICIT (Millimeters)","OCTOBER WATER DEFICIT (Millimeters)","NOVEMBER WATER DEFICIT (Millimeters)","DECEMBER WATER DEFICIT (Millimeters)"
"83","1990","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","36.59","60.25","92.25","143.64","71.3","156.13","112.11","60.31","0.81","0.0","0.0"
"83","1991","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","43.88","63.16","107.24","142.89","177.47","67.83","108.49","31.86","41.3","0.0","0.0"
"83","1992","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","44.06","69.02","111.61","154.13","145.87","149.79","110.43","33.41","71.76","0.69","0.0"
"83","1993","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","55.04","73.22","122.13","153.08","87.7","112.22","103.5","12.19","94.33","0.0","0.0"
"83","1994","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","44.8","43.19","93.04","126.27","112.82","155.14","100.73","34.56","105.92","0.0","0.0"
"83","1995","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","24.35","57.17","88.06","119.25","90.41","169.84","58.56","0.0","2.16","0.0","0.06"
"83","1996","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","60.78","81.06","139.4","119.49","196.38","147.03","124.56","66.24","68.83","0.0","0.0"
"83","1997","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","39.01","57.88","96.43","105.22","165.41","121.4","136.23","59.75","57.89","0.0","0.0"
"83","1998","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","43.84","64.53","104.61","136.12","124.92","164.01","49.44","0.31","63.56","0.0","0.0"
"83","1999","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","46.04","63.56","103.73","122.97","150.48","112.32","120.64","5.46","49.24","0.0","0.0"
"83","2000","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","66.39","71.88","135.63","143.26","153.18","108.64","70.08","6.38","0.01","0.0","0.0"
"83","2001","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","65.55","82.87","144.13","126.61","177.35","143.51","48.48","88.4","19.44","0.0","0.0"
"83","2002","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","23.76","55.27","88.8","127.23","124.2","140.0","122.44","24.77","53.81","0.0","0.0"
"83","2003","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","51.99","66.22","100.78","140.81","172.72","147.98","8.53","0.2","63.39","0.0","11.0"
"83","2004","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","69.3","65.65","150.58","149.31","67.51","112.03","82.66","104.98","0.0","0.0","0.0"
"83","2005","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","53.25","65.65","115.83","116.5","101.72","159.54","77.23","60.01","32.79","0.0","0.0"
"83","2006","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","40.56","56.0","75.92","107.91","147.99","90.33","74.59","41.41","53.18","0.0","0.0"
"83","2007","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","51.46","48.19","99.36","120.86","161.01","75.33","3.04","0.0","11.52","0.0","3.77"
"83","2008","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","29.84","46.04","73.01","96.52","168.1","121.88","85.05","0.75","40.97","0.0","0.0"
"83","2009","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","42.48","63.03","97.95","142.1","107.74","143.0","129.77","0.65","5.03","82.67","0.0"
"83","2010","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","41.74","58.99","93.75","136.19","112.34","62.28","25.62","0.0","0.0","0.0","0.0"
"83","2011","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","41.43","32.02","86.05","81.27","133.88","114.25","41.31","0.0","22.86","0.0","0.0"
"83","2012","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","30.37","55.19","90.41","123.34","168.94","151.22","91.67","2.44","9.09","0.0","0.12"
"83","2013","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","57.48","56.08","97.02","144.27","109.25","54.22","49.78","8.49","4.87","0.0","0.0"
"83","2014","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","85.11","82.76","145.87","156.59","140.24","34.27","135.81","4.38","88.59","0.0","0.66"
"83","2015","11","Tamil Nadu","Chengalpattu MGR Kancheepuram","49.03","69.24","112.34","117.11","118.87","123.75","56.67","0.0","51.63","0.97","0.0"
"84","1990","11","Tamil Nadu","South Arcot Cuddalore","15.32","71.37","97.41","132.96","89.44","135.59","130.99","76.37","27.99","0.0","0.0"
"84","1991","11","Tamil Nadu","South Arcot Cuddalore","43.43","64.71","107.88","109.22","137.96","106.22","136.13","33.98","66.31","0.0","0.0"
"84","1992","11","Tamil Nadu","South Arcot Cuddalore","47.04","67.84","107.86","138.14","116.83","140.49","117.67","27.44","51.42","6.59","0.0"
"84","1993","11","Tamil Nadu","South Arcot Cuddalore","64.11","82.55","123.23","137.97","109.05","122.35","134.65","54.22","107.43","0.0","0.0"
